rank	word	frequency
345	madrid	5.36
346	mayoría	5.36
347	padre	5.36
348	salir	5.36
349	seguridad	5.36
350	tierra	5.36
351	visto	5.36
352	único	5.36
353	cuerpo	5.35
354	programa	5.35
355	segundo	5.35
356	unas	5.35
357	universidad	5.35
358	último	5.35
359	cabeza	5.34
360	foto	5.34
361	haya	5.34
362	internacional	5.34
363	mil	5.34
364	palabras	5.34
365	pasar	5.34
366	público	5.34
367	seguir	5.34
368	servicio	5.34
369	situación	5.34
370	ayuda	5.33
371	juan	5.33
372	libro	5.33
373	siguiente	5.33
374	veo	5.33
375	datos	5.32
376	dejar	5.32
377	educación	5.32
378	proceso	5.32
379	sentido	5.32
380	cinco	5.31
381	clase	5.31
382	cuanto	5.31
383	derechos	5.31
384	ello	5.31
385	estás	5.31
386	hijos	5.31
387	mes	5.31
388	usted	5.31
389	largo	5.30
390	ningún	5.30
391	orden	5.30
392	puesto	5.30
393	quieres	5.30
394	realmente	5.30
395	alto	5.29
396	demás	5.29
397	dicen	5.29
398	diferentes	5.29
399	español	5.29
400	junto	5.29
401	lista	5.29
402	medios	5.29
403	ninguna	5.29
404	personal	5.29
405	total	5.29
406	trata	5.29
407	video	5.29
408	viene	5.29
409	web	5.29
410	base	5.28
411	camino	5.28
412	digo	5.28
413	empresa	5.28
414	especial	5.28
415	hola	5.28
416	paz	5.28
417	policía	5.28
418	queda	5.28
419	salud	5.28
420	sitio	5.28
421	tomar	5.28
422	tuvo	5.28
423	zona	5.28
424	calle	5.27
425	cara	5.27
426	línea	5.27
427	mundial	5.27
428	obra	5.27
429	ojos	5.27
430	os	5.27
431	pensar	5.27
432	servicios	5.27
433	sociales	5.27
434	allí	5.26
435	atención	5.26
436	debería	5.26
437	escuela	5.26
438	julio	5.26
439	pueda	5.26
440	quieren	5.26
441	respecto	5.26
442	segunda	5.26
443	siento	5.26
444	ve	5.26
445	vivir	5.26
446	capital	5.25
447	casos	5.25
448	etc	5.25
449	libre	5.25
450	luz	5.25
451	mejores	5.25
452	población	5.25
453	quienes	5.25
454	relación	5.25
455	sabes	5.25
456	suerte	5.25
457	varias	5.25
458	bastante	5.24
459	cultura	5.24
460	debido	5.24
461	difícil	5.24
462	dio	5.24
463	estaban	5.24
464	fotos	5.24
465	fuerte	5.24
466	fácil	5.24
467	habla	5.24
468	miedo	5.24
469	minutos	5.24
470	música	5.24
471	poner	5.24
472	pregunta	5.24
473	rey	5.24
474	vos	5.24
475	apoyo	5.23
476	dado	5.23
477	deja	5.23
478	demasiado	5.23
479	espero	5.23
480	fuerza	5.23
481	iba	5.23
482	josé	5.23
483	manos	5.23
484	mayo	5.23
485	mucha	5.23
486	oficial	5.23
487	propio	5.23
488	buenas	5.22
489	chile	5.22
490	control	5.22
491	deben	5.22
492	empresas	5.22
493	encontrar	5.22
494	inglés	5.22
495	marzo	5.22
496	peor	5.22
497	serie	5.22
498	sur	5.22
499	trabajar	5.22
500	última	5.22
501	asi	5.21
502	edad	5.21
503	futuro	5.21
504	justicia	5.21
505	libertad	5.21
506	nuestras	5.21
507	pesar	5.21
508	tampoco	5.21
509	venezuela	5.21
510	allá	5.20
511	cantidad	5.20
512	corazón	5.20
513	diciembre	5.20
514	encuentra	5.20
515	existe	5.20
516	imagen	5.20
517	importa	5.20
518	norte	5.20
519	octubre	5.20
520	político	5.20
521	principal	5.20
522	propia	5.20
523	vi	5.20
524	vista	5.20
525	volver	5.20
526	voz	5.20
527	actual	5.19
528	ambos	5.19
529	elecciones	5.19
530	estudio	5.19
531	grupos	5.19
532	media	5.19
533	mira	5.19
534	modo	5.19
535	palabra	5.19
536	pasó	5.19
537	sean	5.19
538	tenido	5.19
539	abril	5.18
540	campo	5.18
541	hubiera	5.18
542	internet	5.18
543	joven	5.18
544	nuevos	5.18
545	plan	5.18
546	puntos	5.18
547	pública	5.18
548	región	5.18
549	significa	5.18
550	comunidad	5.17
551	dirección	5.17
552	habían	5.17
553	has	5.17
554	investigación	5.17
555	junio	5.17
556	lleva	5.17
557	nuevas	5.17
558	partidos	5.17
559	partir	5.17
560	película	5.17
561	república	5.17
562	resto	5.17
563	vuelta	5.17
564	consejo	5.16
565	dan	5.16
566	dónde	5.16
567	hacerlo	5.16
568	llamado	5.16
569	mercado	5.16
570	movimiento	5.16
571	noviembre	5.16
572	papel	5.16
573	precio	5.16
574	respuesta	5.16
575	seis	5.16
576	simplemente	5.16
577	única	5.16
578	agosto	5.15
579	aun	5.15
580	cargo	5.15
581	comida	5.15
582	cuales	5.15
583	ellas	5.15
584	enero	5.15
585	experiencia	5.15
586	jefe	5.15
587	leer	5.15
588	llama	5.15
589	llevar	5.15
590	miembros	5.15
591	padres	5.15
592	pena	5.15
593	producción	5.15
594	siglo	5.15
595	ustedes	5.15
596	cabo	5.14
597	común	5.14
598	economía	5.14
599	entiendo	5.14
600	espacio	5.14
601	febrero	5.14
602	hablando	5.14
603	haga	5.14
604	necesita	5.14
605	opinión	5.14
606	oportunidad	5.14
607	organización	5.14
608	partes	5.14
609	página	5.14
610	resultados	5.14
611	santa	5.14
612	tenga	5.14
613	vale	5.14
614	acción	5.13
615	arte	5.13
616	condiciones	5.13
617	conocer	5.13
618	estuvo	5.13
619	necesito	5.13
620	noticias	5.13
621	plaza	5.13
622	septiembre	5.13
623	usar	5.13
624	valor	5.13
625	vivo	5.13
626	calidad	5.12
627	causa	5.12
628	central	5.12
629	director	5.12
630	duda	5.12
631	europa	5.12
632	fecha	5.12
633	feliz	5.12
634	iglesia	5.12
635	necesario	5.12
636	obras	5.12
637	políticos	5.12
638	pronto	5.12
639	resultado	5.12
640	alta	5.11
641	cambiar	5.11
642	civil	5.11
643	colombia	5.11
644	hermano	5.11
645	libros	5.11
646	local	5.11
647	mar	5.11
648	mismos	5.11
649	viaje	5.11
650	últimos	5.11
651	acerca	5.10
652	acá	5.10
653	alrededor	5.10
654	campaña	5.10
655	carrera	5.10
656	ejército	5.10
657	encima	5.10
658	estudios	5.10
659	interés	5.10
660	llegó	5.10
661	mensaje	5.10
662	negro	5.10
663	niño	5.10
664	objetivo	5.10
665	of	5.10
666	popular	5.10
667	principio	5.10
668	provincia	5.10
669	recursos	5.10
670	red	5.10
671	río	5.10
672	ah	5.09
673	aquellos	5.09
674	ayer	5.09
675	blanco	5.09
676	carlos	5.09
677	comer	5.09
678	compañía	5.09
679	diciendo	5.09
680	especialmente	5.09
681	ganar	5.09
682	interior	5.09
683	lucha	5.09
684	mediante	5.09
685	nota	5.09
686	pequeño	5.09
687	prueba	5.09
688	saben	5.09
689	sol	5.09
690	twitter	5.09
691	vaya	5.09
692	anterior	5.08
693	buscar	5.08
694	dia	5.08
695	fuerzas	5.08
696	justo	5.08
697	lugares	5.08
698	medida	5.08
699	podía	5.08
700	primeros	5.08
